cz_name,stateabbrv,name,mobility,population,density,male,white,black,amind,asian,highschool,college,dropout,manufacturing,income,gini,rentpct,poverty
Palm Bay,FL,"Brevard County, Florida",-.29688695,553591,545.05322,.48870736,.83050847,.10280875,.0032063383,.02307841,.63337159,.27317959,.04102983,.10104792,35535,.44929999,32.099998,.21259131
Miami,FL,"Broward County, Florida",-.17221037,1843152,1523.537,.48548356,.62617463,.27837476,.0024121723,.034990061,.57395852,.30820158,.040607017,.048345841,37745,.4788,36.099998,.19869135
Tallahassee,FL,"Calhoun County, Florida",.057002708,14615,25.76082,.546767,.8125214,.13431406,.011631885,.0064317482,.64720124,.10526825,.039179105,.049841605,25065,.44760001,33.599998,.21524513
Sarasota,FL,"Charlotte County, Florida",.063720822,165783,243.6987,.48688948,.90499026,.056061238,.0021715134,.012823992,.68536621,.20791297,.04475899,.042481933,32135,.44209999,32.900002,.19029799
Jacksonville,FL,"Clay County, Florida",.11441267,197417,326.65439,.49099621,.82008642,.09763597,.0022642426,.031663939,.66563654,.23761208,.039003436,.050559197,42336,.4122,28.700001,.11639542
Cape Coral,FL,"Collier County, Florida",.14074682,341091,170.68851,.49205637,.87800616,.068301424,.0026620461,.012489336,.52743351,.33233404,.06952747,.034201238,41728,.53380001,32.599998,.2473679
Lake City,FL,"Columbia County, Florida",-.16232409,67806,85.015289,.51735836,.77201134,.17923193,.0028758517,.0080081411,.70564246,.15096688,.089613676,.047173552,30451,.44260001,27.1,.30567414
Jacksonville,FL,"Duval County, Florida",.035188191,890673,1168.568,.48472559,.6147666,.29397207,.0024509556,.043562565,.61343402,.27298805,.050829269,.058663331,34638,.4747,32.900002,.25987485
Pensacola,FL,"Escambia County, Florida",-.47537872,306327,466.63391,.49684161,.68961602,.21604037,.0041785412,.028936397,.65074378,.24509843,.049526092,.045934878,32967,.4413,31,.25467598
Tampa,FL,"Hillsborough County, Florida",-.69103324,1302884,1277.0699,.48786539,.71130812,.16635019,.0035805183,.036912724,.56916291,.30558521,.051210482,.051011778,36736,.47920001,32.400002,.23305966
Palm Bay,FL,"Indian River County, Florida",-.22373053,142866,284.10031,.48134616,.86173755,.092464268,.002372853,.011920261,.61457354,.2681171,.078257971,.052639492,33263,.53030002,34.400002,.23132132
Orlando,FL,"Lake County, Florida",-.080134638,310561,330.95401,.48340261,.83355927,.097616896,.0038092355,.017771065,.6586349,.215084,.0634114,.055038556,33703,.43099999,33.400002,.21139267
Cape Coral,FL,"Lee County, Florida",-.38738343,663675,845.97058,.48993558,.84541231,.086360037,.0029879082,.015940031,.60944587,.26007247,.046494149,.035194751,35253,.47549999,31.9,.26913625
Tallahassee,FL,"Leon County, Florida",-.38325578,282940,424.29211,.47527391,.62226266,.31127095,.0032303669,.032243583,.47316572,.44995075,.026194341,.020707149,33951,.4874,37.299999,.20598345
Sarasota,FL,"Manatee County, Florida",-.25671619,343729,462.66611,.48313352,.84619278,.092814401,.0015855514,.018354576,.60189354,.27688628,.070920005,.077313125,36079,.46219999,33.200001,.25518656
Ocala,FL,"Marion County, Florida",-.18715817,336811,212.55991,.48007932,.81682307,.12914662,.0034618822,.015020293,.68203205,.17808858,.071927227,.070535861,28659,.433,32.700001,.31342849
Port St. Lucie,FL,"Martin County, Florida",-.20512974,151586,278.92551,.49468949,.87110287,.055955034,.0041626533,.01114219,.58216625,.31607577,.054233015,.061023269,37472,.51279998,32.400002,.19590199
Miami,FL,"Monroe County, Florida",.0203223,75901,77.191467,.52909714,.89100277,.065480031,.0044004689,.010131619,.59586722,.31305894,.02583799,.028698318,41610,.50929999,35.599998,.19497246
Jacksonville,FL,"Nassau County, Florida",.26623577,75880,116.9834,.49400368,.90390092,.064259358,.0032024249,.0088297315,.66550016,.23041645,.065028898,.078879923,39305,.45039999,31.299999,.19108447
Pensacola,FL,"Okaloosa County, Florida",.033388991,192237,206.6515,.50506407,.79332805,.091449618,.005758517,.029323179,.62378472,.28842503,.050792225,.04791576,40586,.43180001,30.9,.21986739
Orlando,FL,"Orange County, Florida",-.60521066,1229039,1360.416,.49139693,.64471024,.20809266,.0022716937,.051921055,.56524503,.31105432,.038161106,.0455769,34821,.47979999,34.599998,.2546638
Orlando,FL,"Osceola County, Florida",-.023428399,300870,226.65221,.49200651,.75695485,.11320836,.0022966729,.026227275,.67235214,.17978351,.047814909,.034796502,32142,.42989999,36.099998,.29112133
Port St. Lucie,FL,"Palm Beach County, Florida",-.65072882,1378806,699.98572,.48344511,.74987996,.17972434,.0019480623,.025039056,.5425387,.3356792,.043914042,.044890612,38758,.51520002,36,.22153674
Tampa,FL,"Pasco County, Florida",-.068898343,479288,641.71503,.48555148,.88677788,.050702292,.0036032614,.023092587,.66545343,.21445732,.066237852,.05111007,32730,.4465,32.599998,.17947559
Tampa,FL,"Pinellas County, Florida",.02921021,931477,3402.0481,.47960389,.82642192,.10320491,.0028020015,.031703413,.61165518,.28869864,.054767951,.068850666,33279,.486,32.700001,.21936859
Lakeland,FL,"Polk County, Florida",-.34405991,626676,348.5722,.48991343,.78769571,.15077488,.002653684,.01672156,.64641839,.18875831,.070575021,.061313063,31349,.433,31.9,.28670776
